name,,set,,set_code,,id,,type,,power,,toughness,,loyalty,,manacost,,converted_manacost,,artist,,flavor,,color,,generated_mana,,number,,rarity,,rating,,ruling,,variation,,ability,,pricing_low,,pricing_mid,,pricing_high,,watermark,,print_number,,is_original,,back_id,,number_int,,name_CN,,name_TW,,name_FR,,name_DE,,name_IT,,name_JP,,name_PT,,name_RU,,name_ES,,name_KO,,type_CN,,type_TW,,type_FR,,type_DE,,type_IT,,type_JP,,type_PT,,type_RU,,type_ES,,type_KO,,ability_CN,,ability_TW,,ability_FR,,ability_DE,,ability_IT,,ability_JP,,ability_PT,,ability_RU,,ability_ES,,ability_KO,,flavor_CN,,flavor_TW,,flavor_FR,,flavor_DE,,flavor_IT,,flavor_JP,,flavor_PT,,flavor_RU,,flavor_ES,,flavor_KO,,color_identity,,fully_handled,,custom_sort,,legality_Block,,legality_Standard,,legality_Modern,,legality_Legacy,,legality_Vintage,,legality_Highlander,,legality_French_Commander,,legality_Tiny_Leaders_Commander,,legality_Leviathan_Commander,,legality_Commander,,legality_Peasant,,legality_Pauper
Abduction,,Classic Sixth Edition,,6E,,14526,,Enchantment — Aura,,,,,,,,{2}{U}{U},,4,,Colin MacNeil,,,,U,,,,55,,U,,3.511,,£10/1/2009 : Abduction may be cast targeting an untapped creature.,,,,"Enchant creature£When Abduction enters the battlefield, untap enchanted creature.£You control enchanted creature.£When enchanted creature dies, return that card to the battlefield under its owner's control.",,,,,,,,,,,,,,,,55,,,,,,Rapt,,Entführung,,Rapimento,,,,Abdução,,,,Secuestro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssal Hunter,,Classic Sixth Edition,,6E,,15383,,Creature — Human Assassin,,1,,1,,,,{3}{B},,4,,Steve Luke,,#_Some smiles show cheer; some merely show teeth._#,,B,,,,109,,R,,2.958,,£10/4/2004 : The ability can target an already tapped creature.,,,,"{B}, {T}: Tap target creature. Abyssal Hunter deals damage equal to Abyssal Hunter's power to that creature.",,,,,,,,,,,,,,,,109,,,,,,Chasseur des abysses,,Unterweltjäger,,Cacciatore degli Abissi,,,,Caçador Abissal,,,,Cazador abismal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyssal Specter,,Classic Sixth Edition,,6E,,15381,,Creature — Specter,,2,,3,,,,{2}{B}{B},,4,,George Pratt,,,,B,,,,110,,U,,3.458,,,,,,"Flying£Whenever Abyssal Specter deals damage to a player, that player discards a card.",,,,,,,,,,,,,,,,110,,,,,,Spectre des abysses,,Unterweltgespenst,,Spettro dell'Abisso,,,,Espectro Abissal,,,,Espectro abismal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Adarkar Wastes,,Classic Sixth Edition,,6E,,14727,,Land,,,,,,,,,,0,,Gary Leach,,,,L,,{W}{U}{C},,319,,R,,4.2,,,,,,{T}: Add {C} to your mana pool.£{T}: Add {W} or {U} to your mana pool. Adarkar Wastes deals 1 damage to you.,,,,,,,,,,,,,,,,319,,,,,,Landes d'Adarkar,,Adarkarwüste,,Distese dell'Adarkar,,,,Regiões Agrestes de Adarkar,,,,Yermos de Adarkar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WU,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Aether Flash,,Classic Sixth Edition,,6E,,15447,,Enchantment,,,,,,,,{2}{R}{R},,4,,Ron Spencer,,"#_""You can't get there from here. Well, you can—it just won't be fun.""£—Ertai, wizard adept_#",,R,,,,163,,U,,4.034,,"£10/4/2004 : This is not a targeted ability, so it deals damage to creatures that can’t be targeted by spells and abilities.",,,,"Whenever a creature enters the battlefield, Aether Flash deals 2 damage to it.",,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Agonizing Memories,,Classic Sixth Edition,,6E,,14586,,Sorcery,,,,,,,,{2}{B}{B},,4,,Mike Dringenberg,,"#_""An innocent man died because of my anger. That knowledge will haunt me for all eternity.""£—Karn, silver golem_#",,B,,,,111,,U,,3.625,,,,,,Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.,,,,,,,,,,,,,,,,111,,,,,,Affres du souvenir,,Bedrückende Erinnerungen,,Ricordi Tormentosi,,,,Lembranças Angustiantes,,,,Recuerdos agónicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Elemental,,Classic Sixth Edition,,6E,,15371,,Creature — Elemental,,4,,4,,,,{3}{U}{U},,5,,Doug Chaffee,,"#_As insubstantial, and as powerful, as the wind that carries it._#",,U,,,,56,,U,,3.385,,,,,,Flying,,,,,,,,,,,,,,,,56,,,,,,Elémental d'air,,Luftelementar,,Elementale dell'Aria,,,,Elemental do Ar,,,,Elemental del aire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Aladdin's Ring,,Classic Sixth Edition,,6E,,14770,,Artifact,,,,,,,,{8},,8,,Stuart Griffin,,"#_"". . . The magician drew a ring off his finger . . . , saying: ‘It is a talisman against all evil, so long as you obey me.'""£—The Arabian Nights,£Junior Classics trans._#",,A,,,,271,,R,,1.306,,,,,,"{8}, {T}: Aladdin's Ring deals 4 damage to target creature or player.",,,,,,,,,,,,,,,,271,,,,,,Anneau d'Aladdin,,Aladins Ring,,Anello di Aladino,,,,Anel de Aladim,,,,Anillo de Aladino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Prison,,Classic Sixth Edition,,6E,,15403,,Artifact,,,,,,,,{4},,4,,Donato Giancola,,,,A,,,,272,,R,,3.464,,,,,,"You may choose not to untap Amber Prison during your untap step.£{4}, {T}: Tap target artifact, creature, or land. That permanent doesn't untap during its controller's untap step for as long as Amber Prison remains tapped.",,,,,,,,,,,,,,,,272,,,,,,Prison d'ambre,,Bernsteingefängnis,,Prigione d'Ambra,,,,Prisão de Âmbar,,,,Prisión de ámbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaba Bodyguard,,Classic Sixth Edition,,6E,,16444,,Creature — Minotaur,,2,,3,,,,{3}{R},,4,,Anson Maddocks,,"#_""Not all minotaurs are tribal. Some are freelance.""£—Eron the Relentless_#",,R,,,,164,,C,,2.257,,,,,,First strike #_(This creature deals combat damage before creatures without first strike.)_#,,,,,,,,,,,,,,,,164,,,,,,Garde du corps anabaan,,Anaba-Leibwächter,,Guardia del Corpo di Anaba,,,,Guarda-costas de Anaba,,,,Guardaespaldas de Anaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
